# Last update: Thu, 20 Feb 2020 23:00:10 +0100
#
# IP	number of (black)lists
#
89.234.157.254	11
195.206.105.217	11
18.27.197.252	10
185.220.102.8	10
178.165.72.177	10
46.165.230.5	10
162.247.74.74	10
171.25.193.78	9
185.107.47.171	9
46.165.245.154	9
162.247.74.27	9
66.230.230.230	9
62.102.148.69	9
144.217.255.89	9
62.102.148.68	9
77.247.181.163	9
109.70.100.20	8
195.154.179.3	8
118.70.216.153	8
162.247.74.204	8
185.220.101.33	8
171.25.193.77	8
176.10.104.240	8
185.220.101.28	8
185.220.101.27	8
185.220.101.24	8
192.42.116.16	8
92.63.194.104	8
104.244.76.245	8
77.247.181.162	8
167.88.7.134	8
185.220.102.7	8
162.247.74.216	8
162.247.74.213	8
171.25.193.235	8
176.10.99.200	8
95.211.230.211	8
199.195.254.80	8
45.148.10.143	8
77.247.181.165	8
158.174.122.199	8
62.210.105.116	8
162.247.74.202	7
89.234.174.47	7
109.70.100.21	7
185.207.139.2	7
195.176.3.23	7
195.176.3.20	7
195.176.3.24	7
185.107.47.215	7
212.47.229.4	7
140.207.46.138	7
185.220.101.35	7
104.244.72.115	7
103.125.189.122	7
192.68.11.219	7
185.220.100.253	7
185.220.100.252	7
185.220.100.255	7
185.220.100.254	7
45.33.70.146	7
94.230.208.147	7
185.220.101.29	7
185.220.101.25	7
104.168.211.79	7
101.227.243.56	7
173.248.227.117	7
185.220.102.6	7
209.141.35.177	7
157.245.104.96	7
45.95.168.105	7
23.129.64.182	7
188.213.49.176	7
185.220.103.4	7
222.124.18.155	7
195.176.3.19	7
182.253.26.114	7
162.247.74.7	7
64.113.32.29	7
51.89.213.84	7
45.148.10.92	7
107.189.11.193	7
185.220.101.79	7
185.220.100.243	7
185.220.100.248	7
85.248.227.165	7
41.193.122.77	7
104.244.78.197	7
185.220.101.34	7
185.220.101.30	7
185.220.101.32	7
51.15.107.220	7
111.32.171.44	7
185.100.87.206	7
103.99.1.31	6
137.74.169.241	6
162.247.74.206	6
51.15.80.14	6
192.160.102.170	6
54.36.108.162	6
185.117.215.9	6
141.98.80.173	6
164.132.51.91	6
178.73.215.171	6
92.222.127.232	6
91.250.242.12	6
109.201.133.100	6
194.105.205.42	6
185.220.101.5	6
89.31.57.5	6
130.185.250.76	6
23.129.64.158	6
23.129.64.155	6
51.15.43.205	6
185.220.101.44	6
62.151.181.130	6
211.21.92.211	6
178.20.55.18	6
125.138.58.188	6
130.149.80.199	6
58.211.122.58	6
162.247.72.199	6
163.172.77.243	6
141.98.254.225	6
45.148.10.175	6
104.244.76.189	6
88.191.138.184	6
185.107.70.202	6
51.89.200.108	6
185.165.168.229	6
185.220.101.26	6
209.141.41.103	6
51.77.52.216	6
134.73.71.161	6
185.220.102.4	6
109.70.100.27	6
104.244.79.250	6
103.77.78.203	6
209.141.58.58	6
85.248.227.164	6
94.203.254.248	6
45.141.86.128	6
78.131.11.10	6
109.70.100.19	6
185.220.101.46	6
159.203.64.91	6
107.189.10.174	6
222.186.175.151	6
45.154.255.44	6
165.227.121.230	6
159.89.181.213	6
107.189.10.141	6
113.240.247.163	6
162.220.162.38	6
171.25.193.20	6
171.25.193.25	6
91.173.121.137	6
221.228.72.222	6
35.0.127.52	6
80.67.172.162	6
185.100.86.182	6
51.68.139.151	6
222.186.180.41	6
222.186.173.183	6
222.186.173.180	6
209.141.45.212	6
104.244.76.13	6
185.195.237.118	6
103.208.220.122	6
222.186.30.57	6
195.254.134.194	6
185.220.101.73	6
185.220.101.72	6
185.220.101.74	6
185.220.101.77	6
185.220.101.76	6
87.118.116.103	6
23.228.109.146	6
185.129.62.62	6
118.219.52.203	6
144.91.68.122	6
185.220.100.242	6
185.220.100.240	6
85.248.227.163	6
117.211.161.171	6
103.99.155.250	6
185.220.101.31	6
192.42.116.24	6
107.189.10.42	6
107.189.10.44	6
193.9.115.24	6
45.136.108.85	6
185.220.100.245	6
162.247.73.192	6
198.167.138.124	6
198.98.52.141	6
46.166.139.111	6
58.82.224.218	6
121.100.19.34	5
192.241.213.192	5
101.251.68.232	5
128.31.0.13	5
80.82.77.33	5
162.247.74.201	5
222.186.175.140	5
162.243.132.62	5
222.186.30.248	5
117.34.200.242	5
119.42.175.200	5
222.186.169.194	5
222.186.169.192	5
186.207.180.25	5
220.237.131.112	5
154.223.136.86	5
62.138.185.29	5
109.70.100.26	5
109.70.100.23	5
109.70.100.22	5
109.70.100.29	5
109.70.100.28	5
5.199.135.107	5
27.78.14.83	5
104.206.128.2	5
104.206.128.6	5
170.238.54.140	5
180.232.96.162	5
192.241.203.178	5
185.4.132.183	5
120.28.109.188	5
149.56.44.47	5
46.38.235.14	5
167.86.98.236	5
94.100.6.72	5
82.221.131.5	5
183.166.128.171	5
78.47.51.201	5
217.195.192.130	5
213.136.68.118	5
154.83.16.122	5
80.82.67.167	5
159.203.66.129	5
31.185.104.21	5
222.186.175.181	5
58.17.243.151	5
180.76.162.111	5
93.174.93.133	5
222.186.31.166	5
91.132.147.168	5
222.186.180.142	5
213.6.203.226	5
185.72.244.24	5
200.6.188.38	5
222.127.30.130	5
27.155.87.54	5
115.238.62.154	5
180.76.110.70	5
222.186.42.155	5
165.22.239.139	5
41.63.1.40	5
192.42.116.28	5
162.213.3.221	5
85.236.162.50	5
199.249.230.67	5
185.38.175.71	5
185.220.101.3	5
185.220.101.1	5
185.220.101.0	5
58.22.99.135	5
176.236.97.174	5
23.129.64.159	5
23.129.64.156	5
23.129.64.153	5
199.87.154.255	5
207.154.232.160	5
23.129.64.213	5
23.129.64.212	5
209.141.58.114	5
218.92.0.175	5
124.127.35.42	5
104.140.188.54	5
185.220.101.48	5
185.220.101.47	5
62.171.137.194	5
91.132.103.3	5
51.15.235.211	5
96.66.15.147	5
170.130.187.38	5
222.186.15.10	5
104.206.128.10	5
104.206.128.14	5
5.64.204.237	5
80.82.64.127	5
157.230.128.195	5
163.47.146.74	5
112.85.42.174	5
112.85.42.173	5
92.118.160.29	5
178.20.55.16	5
196.52.43.53	5
113.98.255.34	5
37.187.69.69	5
222.186.190.92	5
51.15.1.221	5
124.127.40.206	5
46.162.74.49	5
73.239.220.42	5
62.210.37.82	5
185.220.101.68	5
164.132.49.151	5
51.15.117.50	5
218.92.0.145	5
37.187.156.120	5
170.130.187.14	5
170.130.187.18	5
222.186.173.154	5
113.160.178.148	5
185.165.168.168	5
104.206.128.78	5
108.58.41.139	5
82.64.15.106	5
192.241.208.131	5
222.186.42.136	5
104.206.128.30	5
51.178.48.185	5
185.220.100.251	5
217.170.197.83	5
122.141.177.112	5
218.92.0.168	5
221.13.9.50	5
199.249.230.85	5
196.52.43.65	5
196.52.43.62	5
23.129.64.157	5
89.163.143.8	5
195.254.135.76	5
218.77.44.134	5
104.206.128.54	5
104.206.128.50	5
222.186.175.215	5
222.186.175.216	5
222.186.175.217	5
198.96.155.3	5
198.251.89.80	5
222.186.173.215	5
198.98.53.61	5
91.203.224.177	5
94.230.208.148	5
80.82.64.124	5
185.220.101.20	5
192.42.116.13	5
192.42.116.19	5
104.244.75.188	5
104.244.79.181	5
170.130.187.50	5
51.158.147.12	5
92.63.194.106	5
92.63.194.107	5
199.195.251.226	5
185.94.111.1	5
69.4.82.204	5
166.70.207.2	5
43.225.161.29	5
109.70.100.25	5
109.70.100.24	5
87.229.143.10	5
185.130.44.108	5
51.38.94.66	5
205.185.127.219	5
206.189.166.172	5
212.16.104.33	5
195.228.45.176	5
123.212.48.26	5
192.241.211.138	5
45.67.14.0	5
54.37.16.241	5
222.186.30.145	5
23.129.64.189	5
23.129.64.181	5
23.129.64.180	5
23.129.64.183	5
23.129.64.186	5
199.249.230.116	5
192.210.189.68	5
112.85.42.182	5
112.85.42.180	5
51.83.76.139	5
193.218.118.90	5
213.61.215.54	5
94.231.68.222	5
185.220.101.49	5
119.205.235.251	5
137.74.53.155	5
89.236.112.100	5
178.17.174.229	5
222.186.31.83	5
185.220.103.7	5
185.216.32.130	5
107.189.11.11	5
109.70.100.32	5
109.70.100.30	5
49.232.145.201	5
162.247.74.217	5
222.186.175.154	5
222.186.175.150	5
199.249.230.114	5
159.203.30.120	5
206.189.129.166	5
163.172.57.247	5
74.82.47.2	5
31.185.104.19	5
107.172.79.194	5
198.98.55.119	5
176.235.164.177	5
103.133.109.107	5
104.140.188.2	5
51.91.136.174	5
92.63.194.7	5
185.220.101.75	5
212.83.166.62	5
138.197.89.194	5
23.129.64.223	5
23.129.64.225	5
23.129.64.227	5
193.169.145.66	5
94.16.121.91	5
217.79.178.53	5
23.129.64.191	5
23.129.64.194	5
104.218.63.76	5
185.153.199.155	5
192.241.230.96	5
199.195.250.77	5
222.186.30.76	5
92.118.160.25	5
23.129.64.209	5
23.129.64.202	5
23.129.64.200	5
23.129.64.204	5
23.129.64.205	5
163.172.90.3	5
107.6.171.130	5
51.75.144.43	5
107.173.181.225	5
104.140.188.42	5
222.186.15.166	5
185.220.101.50	5
185.220.101.57	5
64.121.105.2	5
87.118.92.43	5
199.249.230.70	5
199.249.230.72	5
199.249.230.73	5
45.148.10.99	5
61.148.16.162	5
185.195.237.117	5
216.239.90.19	5
212.21.66.6	5
173.212.232.117	5
157.245.168.248	5
95.128.43.164	5
139.59.94.24	5
41.63.1.38	5
200.105.234.131	5
5.199.130.188	5
101.231.184.10	5
185.220.101.70	5
218.92.0.138	5
170.130.187.26	5
51.178.52.245	5
89.248.167.131	5
180.76.135.82	5
86.43.103.111	5
198.50.158.140	5
90.107.178.205	5
80.82.64.134	5
89.144.12.17	5
101.95.111.142	5
46.182.106.190	5
149.202.238.204	5
192.160.102.166	5
192.160.102.168	5
157.245.112.238	5
185.220.100.247	5
185.220.100.244	5
185.220.100.241	5
157.157.87.22	5
185.220.101.14	5
218.92.0.158	5
103.210.133.20	5
37.139.8.104	5
170.130.187.2	5
49.88.112.55	5
198.98.58.135	5
88.214.26.55	5
193.56.28.254	5
185.100.87.41	5
205.185.117.149	5
92.118.160.1	5
92.118.160.5	5
104.140.188.26	5
222.186.180.9	5
222.186.180.8	5
192.42.116.22	5
192.42.116.20	5
192.42.116.26	5
218.92.0.171	5
218.92.0.179	5
61.177.172.91	5
75.127.0.18	5
217.170.197.89	5
81.252.136.89	5
222.186.15.158	5
121.165.33.239	5
45.14.224.122	5
88.152.29.204	5
92.118.27.202	5
192.42.116.17	5
192.42.116.15	5
185.34.33.2	5
89.163.239.216	5
87.118.122.30	5
23.129.64.190	5
199.249.230.123	5
112.85.42.195	5
45.141.84.25	5
62.210.73.82	5
181.55.188.187	5
222.186.42.75	5
217.170.205.107	5
82.221.131.71	5
222.186.175.23	5
222.186.175.169	5
222.186.175.167	5
199.249.230.102	5
